1417,﻿Cula Cuțui,Broșteni, Mehedinţi,Stronghold Cutui,Broșteni, Mehedinţi
1419,Conacul Raduțeștilor,Butoiești, Mehedinţi,Raduţeştilor Mansion,Butoiești, Mehedinţi
1420,Muzeul Satului Cerneți,Cerneți, Mehedinţi,Village Museum Cerneţi,Cerneți, Mehedinţi
1421,Bust Tudor Vladimirescu,Cerneți, Mehedinţi,Bust Tudor Vladimirescu,Cerneți, Mehedinţi
1424,Cula lui Tudor Vladimirescu,Cerneți, Mehedinţi,Stronghold of Tudor Vladimirescu,Cerneți, Mehedinţi
1425,Cula Nistor,Cerneți, Mehedinţi,Stronghold Nistor,Cerneți, Mehedinţi
1426,Cetatea Tricule,4 km de Sviniţa, Mehedinţi,Tricule Citadel,4 km de Sviniţa, Mehedinţi
1428,Conacul Anton Bibescu,Corcova, Mehedinţi,Anton Bibescu Mansion,Corcova, Mehedinţi
1429,Podgoria Corcova,Corcova, Mehedinţi,Vineyard Corcova,Corcova, Mehedinţi
1431,Bustul lui Decebal,Drobeta Turnu Severin, Mehedinţi,Bust of Decebal,Drobeta Turnu Severin, Mehedinţi
1432,Cetatea Medievală a Severinului,Drobeta Turnu Severin, Mehedinţi,Medieval Fortress of Severin,Drobeta Turnu Severin, Mehedinţi
1433,Palatul Theodor Costescu,Drobeta Turnu Severin, Mehedinţi,Theodor Costescu Palace,Drobeta Turnu Severin, Mehedinţi
1434,Bustul Traian,Drobeta Turnu Severin, Mehedinţi,Traian Bust,Drobeta Turnu Severin, Mehedinţi
1435,Episcopia Severinului,Drobeta Turnu Severin, Mehedinţi,Diocese of Severin,Drobeta Turnu Severin, Mehedinţi
1436,Banca Comercială,Drobeta-Turnu Severin, Mehedinţi,Commercial Bank,Drobeta-Turnu Severin, Mehedinţi
1437,Monumentul Eroilor,Drobeta-Turnu Severin, Mehedinţi,Heroes Monument,Drobeta-Turnu Severin, Mehedinţi
1438,Colegiul Național Traian,Drobeta Turnu Severin, Mehedinţi,Traian National College,Drobeta Turnu Severin, Mehedinţi
1439,Bust Traian - Parcul Traian,Drobeta Turnu Severin, Mehedinţi,Bust Traian - Traian Park,Drobeta Turnu Severin, Mehedinţi
1440,Casa Dr. Popescu Crivina,Drobeta-Turnu Severin, Mehedinţi,House Dr. Popescu Crivina,Drobeta-Turnu Severin, Mehedinţi
1441,Hala Radu Negru,Drobeta Turnu Severin, Mehedinţi,Radu Negru Hall,Drobeta Turnu Severin, Mehedinţi
1443,Castelul de Apă,Drobeta Turnu Severin, Mehedinţi,The Water Castle,Drobeta Turnu Severin, Mehedinţi
1444,Școala Primară de Fete,Drobeta-Turnu Severin, Mehedinţi,Girls Primary School,Drobeta-Turnu Severin, Mehedinţi
1445,Școala Primară de Băieți,Drobeta-Turnu Severin, Mehedinţi,Primary School for Boys,Drobeta-Turnu Severin, Mehedinţi
1446,Muzeul Regiunii Porțile de Fier,Drobeta-Turnu Severin, Mehedinţi,Iron Gates Region Museum,Drobeta-Turnu Severin, Mehedinţi
1448,Termele Drobetei,Drobeta-Turnu Severin, Mehedinţi,Drobeta Thermae,Drobeta-Turnu Severin, Mehedinţi
1449,Piciorul Pod Traian,Drobeta Turnu Severin, Mehedinţi,Traian Foot Bridge,Drobeta Turnu Severin, Mehedinţi
1450,Monument Cripta Eroilor,Drobeta Turnu Severin, Mehedinţi,Heroes Monument Crypt,Drobeta Turnu Severin, Mehedinţi
1451,Biblioteca Județeană,Drobeta Turnu Severin, Mehedinţi,County Library,Drobeta Turnu Severin, Mehedinţi
1452,Muzeul de Artă,Drobeta Turnu Severin, Mehedinţi,Art Museum,Drobeta Turnu Severin, Mehedinţi
1453,Bust Gheorghe Anghel,Drobeta-Turnu Severin, Mehedinţi,Bust Gheorghe Anghel,Drobeta-Turnu Severin, Mehedinţi
1455,Monument Marius Vorvoreanu,Drobeta-Turnu Severin, Mehedinţi,Monument Marius Vorvoreanu,Drobeta-Turnu Severin, Mehedinţi
1458,Portul Severin,Drobeta-Turnu Severin, Mehedinţi,Port Severin,Drobeta-Turnu Severin, Mehedinţi
1459,Monument Carol I,Drobeta-Turnu Severin, Mehedinţi,Monument Carol I,Drobeta-Turnu Severin, Mehedinţi
1460,Monumentul Marinarilor,Drobeta-Turnu Severin, Mehedinţi,Sailors Monument,Drobeta-Turnu Severin, Mehedinţi
1461,Casa Matache,Drobeta-Turnu Severin, Mehedinţi,House Matache,Drobeta-Turnu Severin, Mehedinţi
1469,Monument Eroi România Mare,Mehedinţi,Heroes Monument Romania Mare,Mehedinţi
1470,Monument Porțile de Fier,Porțile de Fier, Mehedinţi,Iron Gates Monument,Porțile de Fier, Mehedinţi
1471,Muzeul Porțile de Fier,Porțile de Fier, Mehedinţi,Iron Gates Museum,Porțile de Fier, Mehedinţi
1472,Palatul Gheorghe Pleșa,Obârșia de Câmp, Mehedinţi,George Pleşa Palace,Obârșia de Câmp, Mehedinţi
1474,Statuie Mihai Eminescu,Orșova, Mehedinţi,Mihai Eminescu Statue,Orșova, Mehedinţi
1475,Far Orșova,Orșova, Mehedinţi,Lighthouse Orşova,Orșova, Mehedinţi
1476,Monumentul Eroilor,Orșova, Mehedinţi,Heroes Monument,Orșova, Mehedinţi
1477,Monumentul Dezrădăcinați 1950,Orșova, Mehedinţi,Monument Uprooted 1950,Orșova, Mehedinţi
1482,Bust Mihai Eminescu,Drobeta-Turnu Severin, Mehedinţi,Mihai Eminescu Bust,Drobeta-Turnu Severin, Mehedinţi
1483,Monument Victimele Comunism,Drobeta-Turnu Severin, Mehedinţi,Victims of Communism Memorial,Drobeta-Turnu Severin, Mehedinţi
1485,Podul lui Dumnezeu,Ponoarele, Mehedinţi,God's Bridge,Ponoarele, Mehedinţi
1488,Statuia Danubia,Orşova, Mehedinţi,Statue Danubia,Orşova, Mehedinţi
1489,Statuia lui Decebal,Orşova, Mehedinţi,Statue of Decebal,Orşova, Mehedinţi
1490,Bust Mihai Viteazu,Strehaia, Mehedinţi,Bust Michael the Brave,Strehaia, Mehedinţi
1491,Monumentul Eroilor,Strehaia, Mehedinţi,Heroes Monument,Strehaia, Mehedinţi
1495,Cimitirul Vîrciorova,Vîrcirova, Mehedinţi,Cemetery Vîrciorova,Vîrcirova, Mehedinţi
1500,Statuia Constantin Brâncoveanu,Baia de Aramă, Mehedinţi,Statue of Constantin Brancoveanu,Baia de Aramă, Mehedinţi
1502,Peștera Ponoarele,Ponoarele, Mehedinţi,Cave Ponoarele,Ponoarele, Mehedinţi
1507,Peștera Băluța,Băluța, Mehedinţi,Cave Băluța,Băluța, Mehedinţi
1289,Casa Memoriala Amza Pellea,Băilești, Dolj,Memorial House Amza Pellea,Băilești, Dolj
1291,Muzeul Campiei,Băilești, Dolj,Plain Museum,Băilești, Dolj
1292,Parcul Tineretului,Băilești, Dolj,Youth Park,Băilești, Dolj
1293,Monument Petre Ivanovici,Băilești, Dolj,Monument Petre Ivanovici,Băilești, Dolj
1294,Monumentul Eroilor,Băileşti, Dolj,Heroes Monument,Băileşti, Dolj
1295,Bust Mihai Viteazul,Băilești, Dolj,Bust Michael the Brave,Băilești, Dolj
1299,Casa Dumitru P. Arssenie,Calafat, Dolj,House Dumitru P. Arssenie,Calafat, Dolj
1300,Casa Ioan Gheorghiadis,Calafat, Dolj,House Ioan Gheorghiadis,Calafat, Dolj
1301,Clubul Copiilor,Calafat, Dolj,Children's Club,Calafat, Dolj
1302,Centrul Cultural Bulgar,Calafat, Dolj,Bulgarian Cultural Center,Calafat, Dolj
1303,Bust Stefan Iordache,Calafat, Dolj,Stefan Iordache Bust,Calafat, Dolj
1304,Bust Sima Pasaretz,Calafat, Dolj,Bust Sima Pasaretz,Calafat, Dolj
1305,Monumentul Eroilor,Calafat, Dolj,Heroes Monument,Calafat, Dolj
1306,Bust Tudor Vladimirescu,Calafat, Dolj,Bust Tudor Vladimirescu,Calafat, Dolj
1311,Portul Cultural Cetate,Între Calafat și Turnu Severin, Dolj,Cultural Harbour Fortress,Între Calafat și Turnu Severin, Dolj
1312,Bust Alexandru Ioan Cuza,Cetate, Dolj,Alexandru Ioan Cuza Bust,Cetate, Dolj
1313,Ansamblul Curţii Coţofenilor,Coțofenii din Față, Dolj,Coţofenilor Court Ensemble,Coțofenii din Față, Dolj
1315,Casa Vrabiescu,Craiova, Dolj,House Vrabiescu,Craiova, Dolj
1316,Casa Zwillinger,Craiova, Dolj,House Zwillinger,Craiova, Dolj
1317,Casa Gheorghe Chitu,Craiova, Dolj,Gheorghe Chitu House,Craiova, Dolj
1318,Casa Maria Tănase,Craiova, Dolj,Maria Tanase House,Craiova, Dolj
1319,Casa Schina,Craiova, Dolj,House Schina,Craiova, Dolj
1320,Casa Feraru,Craiova, Dolj,House Feraru,Craiova, Dolj
1322,Casa Nicolae Romanescu,Craiova, Dolj,House Nicolae Romanescu,Craiova, Dolj
1323,Casa Vârvoreanu,Craiova, Dolj,House Vârvoreanu,Craiova, Dolj
1324,Casa Rusănescu,Craiova, Dolj,House Rusănescu,Craiova, Dolj
1325,Casa Diamantopol,Craiova, Dolj,House Diamantopol,Craiova, Dolj
1326,Casa Boicescu,Craiova, Dolj,House Boicescu,Craiova, Dolj
1327,Casa Eskenazy,Craiova, Dolj,House Eskenazy,Craiova, Dolj
1328,Hotel Minerva,Craiova, Dolj,Hotel Minerva,Craiova, Dolj
1329,Hotel New York,Craiova, Dolj,Hotel New York,Craiova, Dolj
1332,Palatul Administrativ,Craiova, Dolj,Administrative Palace,Craiova, Dolj
1333,Statuie Mihai Viteazul,Craiova, Dolj,Statue Michael the Brave,Craiova, Dolj
1334,Hotel Palace,Craiova, Dolj,Hotel Palace,Craiova, Dolj
1335,Muzeul de Arta Palatul Jean Mihail,Craiova, Dolj,Art Museum Jean Mihail Palace,Craiova, Dolj
1336,Bustul lui Theodor Aman,Craiova, Dolj,Bust of Theodor Aman,Craiova, Dolj
1337,Casa Constantin Valimarescu,Craiova, Dolj,House Constantin Valimarescu,Craiova, Dolj
1338,Casa Stoilov Bolintineanu,Craiova, Dolj,House Stoilov Bolintineanu,Craiova, Dolj
1339,AJPIS Dolj,Craiova, Dolj,AJPIS Dolj,Craiova, Dolj
1341,Bust Romanescu,Craiova, Dolj,Bust Romanescu,Craiova, Dolj
1343,Monument Vorvoreanu,Craiova, Dolj,Monument Vorvoreanu,Craiova, Dolj
1344,Statuie Nicolae Romanescu,Craiova, Dolj,Statue Nicolae Romanescu,Craiova, Dolj
1346,Judecătoria Craiova,Craiova, Dolj,Craiova Court,Craiova, Dolj
1347,Universitatea Craiova,Craiova, Dolj,Craiova University,Craiova, Dolj
1348,Bustul Mihai I,Craiova, Dolj,Bust Mihai I,Craiova, Dolj
1350,Primaria Craiova,Craiova, Dolj,City Hall of Craiova,Craiova, Dolj
1351,Statuie Carol I,Craiova, Dolj,Statue Carol I,Craiova, Dolj
1352,Colegiul National Carol I,Craiova, Dolj,Carol I National College,Craiova, Dolj
1353,Muzeul de Știinţe ale Naturii,Craiova, Dolj,Museum of Natural Sciences,Craiova, Dolj
1355,Statuie Ion Maiorescu,Craiova, Dolj,Ion Maiorescu Statue,Craiova, Dolj
1356,Școala Oteteleșanu,Craiova, Dolj,School Otetelesanu,Craiova, Dolj
1357,Muzeul Olteniei,Craiova, Dolj,Oltenia Museum,Craiova, Dolj
1360,Casa Grigore Gabrielescu,Craiova, Dolj,House Grigore Gabrielescu,Craiova, Dolj
1361,Blocul Casa Albă,Craiova, Dolj,Block White House,Craiova, Dolj
1363,Casa Brailoiu Lecca,Craiova, Dolj,House Brailoiu Lecca,Craiova, Dolj
1365,Fantana Jianu,Craiova, Dolj,Jianu Fountain,Craiova, Dolj
1366,Monumentul Tudor Vladimirescu,Craiova, Dolj,Monument Tudor Vladimirescu,Craiova, Dolj
1367,Casa Ionel Pleșia,Craiova, Dolj,House Ionel Plesia,Craiova, Dolj
1368,Casa Pencioiu,Craiova, Dolj,House Pencioiu,Craiova, Dolj
1369,Casa Vernescu,Craiova, Dolj,House Vernescu,Craiova, Dolj
1370,Casa Barbu Druga,Craiova, Dolj,House Barbu Druga,Craiova, Dolj
1371,Casa Cănciulescu,Craiova, Dolj,House Cănciulescu,Craiova, Dolj
1373,Casa Dr. Mendel,Craiova, Dolj,Dr. Mendel House,Craiova, Dolj
1374,Casa Traian Demetrescu,Craiova, Dolj,House Traian Demetrescu,Craiova, Dolj
1375,Casa Memoriala Elena Farago,Craiova, Dolj,Elena Farago Memorial House,Craiova, Dolj
1376,Casa Mirica,Craiova, Dolj,House Mirica,Craiova, Dolj
1377,Casa Poenaru,Craiova, Dolj,House Poenaru,Craiova, Dolj
1378,Statuia Eugeniu Carada,Craiova, Dolj,Eugeniu Carada Statue,Craiova, Dolj
1379,Casa Baniei,Craiova, Dolj,Baniei House,Craiova, Dolj
1381,Fantana Purcarului,Craiova, Dolj,Purcarului Fountain,Craiova, Dolj
1382,Hanul Putureanu,Craiova, Dolj,Putureanu Inn,Craiova, Dolj
1384,Casa Cioroianu,Craiova, Dolj,House Cioroianu,Craiova, Dolj
1385,Statuia Frații Buzești,Craiova, Dolj,Statue Buzeşti Brothers,Craiova, Dolj
1386,Colegiul Național Frații Buzești,Craiova, Dolj,Buzeşti Brothers National College,Craiova, Dolj
1389,Muzeul Mitre Arambașa,Dăbuleni, Dolj,Mitre Arambaşa Museum,Dăbuleni, Dolj
1391,Bust Anton Pann,Filiași, Dolj,Anton Pann Bust,Filiași, Dolj
1393,Mausoleul Familiei Filisanu,Filiași, Dolj,Filisanu Family Mausoleum,Filiași, Dolj
1396,Salcia lui Petrache Lupu,Maglavit, Dolj,Petrache Lupu's Willow,Maglavit, Dolj
1398,Statuia Petre Lupu,Maglavit, Dolj,Statue Petre Lupu,Maglavit, Dolj
1399,Muzeul Satului,Maglavit, Dolj,Village Museum,Maglavit, Dolj
1400,Muzeul Vetre Stramosesti,Marotinu de Jos, Dolj,Museum Ancestral Homes,Marotinu de Jos, Dolj
1403,Muzeul Henri Coandă,Perişor, Dolj,Henri Coandă Museum,Perişor, Dolj
1405,Castrul de la Răcari,Răcarii de Jos, Dolj,Roman Champ at Răcari,Răcarii de Jos, Dolj
1408,Casa Memorială Henri Catargi,Scăești, Dolj,Henri Catargi Memorial House,Scăești, Dolj
1410,Clubul Copiilor,Segarcea, Dolj,Children's Club,Segarcea, Dolj
1412,Bustul Horia Vintilă,Segarcea, Dolj,Bust Horia Vintilă,Segarcea, Dolj
1413,Crama Domnească,Segarcea, Dolj,Royal Wine Cellar,Segarcea, Dolj
