EN,RO,BG
1012,1012,1012
1032,1032,1032
1050,1050,1050
1068,1068,1068
1069,1069,1069
1078,1078,1078
1116,1116,1116
1144,1144,1144
1192,1192,1192
1193,1193,1193
1202,1202,1202
1206,1206,1206
1207,1207,1207
1239,1239,1239
1244,1244,1244
1249,1249,1249
1251,1251,1251
1265,1265,1265
1289,1289,1289
1311,1311,1311
1328,1328,1328
1332,1332,1332
1335,1335,1335
1340,1340,1340
1393,1393,1393
1417,1417,1417
1422,1422,1422
1432,1432,1432
1433,1433,1433
1443,1443,1443
1468,1468,1468
1472,1472,1472
1479,1479,1479
1487,1487,1487
1489,1489,1489
1492,1492,1492
1496,1496,1496
1519,1519,1519
1521,1521,1521
1538,1538,1538
1551,1551,1551
1567,1567,1567
1590,1590,1590
1598,1598,1598
1613,1613,1613
1631,1631,1631
1639,1639,1639
1663,1663,1663
1667,1667,1667
1721,1721,1721
2005,2005,2005
2013,2013,2013
2016,2016,2016
2018,2018,2018
2097,2097,2097
2116,2116,2116
2126,2126,2126
2159,2159,2159
2161,2161,2161
2205,2205,2205
2210,2210,2210
2212,2212,2212
2221,2221,2221
2227,2227,2227
2241,2241,2241
2295,2295,2295
2301,2301,2301
2312,2312,2312
2321,2321,2321
2324,2324,2324
2337,2337,2337
2359,2359,2359
2373,2373,2373
2395,2395,2395
2407,2407,2407
2408,2408,2408
2415,2415,2415
2428,2428,2428
2479,2479,2479
2481,2481,2481
2485,2485,2485
2492,2492,2492
2494,2494,2494
2504,2504,2504
2541,2541,2541
2585,2585,2585
2586,2586,2586
2591,2591,2591
2595,2595,2595
2604,2604,2604
2634,2634,2634
2642,2642,2642
2661,2661,2661
2695,2695,2695
2696,2696,2696
2709,2709,2709
2723,2723,2723
2735,2735,2735
2746,2746,2746
2747,2747,2747
2763,2763,2763
