1417,﻿Cula Cuțui,Stronghold Cutui,Broșteni, Mehedinţi,﻿ФЕОДАЛНО ИМЕНИЕ КУЦУЙ,Броșтени, Мехединţи,44.760204,22.980387
1419,Conacul Raduțeștilor,Raduţeştilor Mansion,Butoiești, Mehedinţi,﻿ИМЕНИЕТО РАДУЦЕЩИ,Бутоиеșти, Мехединţи,44.58765,23.37082
1420,Muzeul Satului Cerneți,Village Museum Cerneţi,Cerneți, Mehedinţi,﻿МУЗЕЙ НА СЕЛО ЧЕРНЕЦ,Цернеțи, Мехединţи,44.301575,23.955776
1421,Bust Tudor Vladimirescu,Bust Tudor Vladimirescu,Cerneți, Mehedinţi,﻿БЮСТ НА ТУДОР ВЛАДИМИРЕСКУ,Цернеțи, Мехединţи,44.310574,23.957777
1424,Cula lui Tudor Vladimirescu,Stronghold of Tudor Vladimirescu,Cerneți, Mehedinţi,﻿ФЕОДАЛНОТО ИМЕНИЕ НА ТУДОР ВЛАДИМИРЕСКУ,Цернеțи, Мехединţи,44.292576,23.948776
1425,Cula Nistor,Stronghold Nistor,Cerneți, Mehedinţi,﻿КУЛАТА НИСТОР,Цернеțи, Мехединţи,44.640575,22.711123
1426,Cetatea Tricule,Tricule Citadel,Sviniţa, Mehedinţi,﻿КРЕПОСТТА ТРИКУЛЕ, Свиниţа, Мехединţи,44.5000612,22.1091961
1428,Conacul Anton Bibescu,Anton Bibescu Mansion,Corcova, Mehedinţi,﻿ИМЕНИЕ АНТОН БИБЕСКУ,Цорцова, Мехединţи,44.69661,23.037203
1429,Podgoria Corcova,Vineyard Corcova,Corcova, Mehedinţi,﻿ПОДГОРИЯ КОРКОВА,Цорцова, Мехединţи,44.706608,23.031202
1431,Bustul lui Decebal,Bust of Decebal,Drobeta Turnu Severin, Mehedinţi,﻿БЮСТ НА ДЕЧЕБАЛ,Дробета Турну Северин, Мехединţи,44.631943,22.65611
1432,Cetatea Medievală a Severinului,Medieval Fortress of Severin,Drobeta Turnu Severin, Mehedinţi,﻿СРЕДНОВЕКОВНА КРЕПОСТ НА СЕВЕРИН,Дробета Турну Северин, Мехединţи,44.625942,22.659111
1433,Palatul Theodor Costescu,Theodor Costescu Palace,Drobeta Turnu Severin, Mehedinţi,﻿Палатът Теодор Костеску,Дробета Турну Северин, Мехединţи,44.63394,22.648111
1434,Bustul Traian,Traian Bust,Drobeta Turnu Severin, Mehedinţi,﻿Бюст Траян Дробета Турну Северин,Дробета Турну Северин, Мехединţи,44.64094,22.651112
1435,Episcopia Severinului,Diocese of Severin,Drobeta Turnu Severin, Mehedinţi,﻿ЕПИСКОПИЯ ГРАД СЕВЕРИН,Дробета Турну Северин, Мехединţи,44.639942,22.65411
1436,Banca Comercială,Commercial Bank,Drobeta-Turnu Severin, Mehedinţi,﻿ТЪРГОВСКА БАНКА,Дробета-Турну Северин, Мехединţи,44.63494,22.65311
1437,Monumentul Eroilor,Heroes Monument,Drobeta-Turnu Severin, Mehedinţi,ПАМЕТНИК НА ГЕРОИТЕ,Дробета-Турну Северин, Мехединţи,44.62694,22.655111
1438,Colegiul Național Traian,Traian National College,Drobeta Turnu Severin, Mehedinţi,﻿НАЦИОНАЛЕН КОЛЕЖ ТРАЯН,Дробета Турну Северин, Мехединţи,44.635944,22.66011
